model,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,training_seconds
Support Vector Machine,0.8266666666666667,0.8296796714637272,0.8266666666666668,0.8256412275700047,0.20697849999851314
Random Forest,0.7733333333333333,0.7751863169510229,0.7733333333333333,0.7716903494169902,1.0703825000000506
Logistic Regression,0.7666666666666667,0.7857775802628744,0.7666666666666667,0.7676370710922992,0.16587240000080783
K-Nearest Neighbours,0.72,0.7423353349436941,0.72,0.7192721898478187,0.003966500000387896
